Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D0","D","D_SOD-323_HandSoldering",-103.505000,-128.730000,90.000000,bottom
"D1","D","D_SOD-323_HandSoldering",-122.555000,-128.730000,90.000000,bottom
"D2","D","D_SOD-323_HandSoldering",-141.605000,-128.730000,90.000000,bottom
"D3","D","D_SOD-323_HandSoldering",-160.655000,-128.730000,90.000000,bottom
"D4","D","D_SOD-323_HandSoldering",-179.705000,-128.730000,90.000000,bottom
"D5","D","D_SOD-323_HandSoldering",-198.755000,-128.730000,90.000000,bottom
"D6","D","D_SOD-323_HandSoldering",-217.805000,-128.730000,90.000000,bottom
"D7","D","D_SOD-323_HandSoldering",-236.855000,-128.730000,90.000000,bottom
"D8","D","D_SOD-323_HandSoldering",-255.905000,-128.730000,90.000000,bottom
"D9","D","D_SOD-323_HandSoldering",-274.955000,-128.730000,90.000000,bottom
"D10","D","D_SOD-323_HandSoldering",-294.005000,-128.730000,90.000000,bottom
"D11","D","D_SOD-323_HandSoldering",-313.055000,-128.730000,90.000000,bottom
"D12","D","D_SOD-323_HandSoldering",-108.267500,-147.780000,90.000000,bottom
"D13","D","D_SOD-323_HandSoldering",-132.080000,-147.780000,90.000000,bottom
"D14","D","D_SOD-323_HandSoldering",-151.130000,-147.780000,90.000000,bottom
"D15","D","D_SOD-323_HandSoldering",-170.180000,-147.780000,90.000000,bottom
"D16","D","D_SOD-323_HandSoldering",-189.230000,-147.780000,90.000000,bottom
"D17","D","D_SOD-323_HandSoldering",-208.280000,-147.780000,90.000000,bottom
"D18","D","D_SOD-323_HandSoldering",-227.330000,-147.780000,90.000000,bottom
"D19","D","D_SOD-323_HandSoldering",-246.380000,-147.780000,90.000000,bottom
"D20","D","D_SOD-323_HandSoldering",-265.430000,-147.780000,90.000000,bottom
"D21","D","D_SOD-323_HandSoldering",-284.480000,-147.780000,90.000000,bottom
"D22","D","D_SOD-323_HandSoldering",-308.292500,-147.780000,90.000000,bottom
"D23","D","D_SOD-323_HandSoldering",-113.030000,-166.830000,90.000000,bottom
"D24","D","D_SOD-323_HandSoldering",-141.605000,-166.830000,90.000000,bottom
"D25","D","D_SOD-323_HandSoldering",-160.655000,-166.830000,90.000000,bottom
"D26","D","D_SOD-323_HandSoldering",-179.705000,-166.830000,90.000000,bottom
"D27","D","D_SOD-323_HandSoldering",-198.755000,-166.830000,90.000000,bottom
"D28","D","D_SOD-323_HandSoldering",-217.805000,-166.830000,90.000000,bottom
"D29","D","D_SOD-323_HandSoldering",-236.855000,-166.830000,90.000000,bottom
"D30","D","D_SOD-323_HandSoldering",-255.905000,-166.830000,90.000000,bottom
"D31","D","D_SOD-323_HandSoldering",-274.955000,-166.830000,90.000000,bottom
"D32","D","D_SOD-323_HandSoldering",-294.005000,-166.830000,90.000000,bottom
"D33","D","D_SOD-323_HandSoldering",-313.055000,-166.830000,90.000000,bottom
"D34","D","D_SOD-323_HandSoldering",-103.505000,-185.880000,90.000000,bottom
"D35","D","D_SOD-323_HandSoldering",-122.555000,-185.880000,90.000000,bottom
"D36","D","D_SOD-323_HandSoldering",-141.605000,-185.880000,90.000000,bottom
"D37","D","D_SOD-323_HandSoldering",-170.180000,-185.880000,90.000000,bottom
"D38","D","D_SOD-323_HandSoldering",-198.755000,-185.880000,90.000000,bottom
"D39","D","D_SOD-323_HandSoldering",-227.330000,-185.880000,90.000000,bottom
"D40","D","D_SOD-323_HandSoldering",-255.905000,-185.880000,90.000000,bottom
"D41","D","D_SOD-323_HandSoldering",-274.955000,-185.880000,90.000000,bottom
"D42","D","D_SOD-323_HandSoldering",-294.005000,-185.880000,90.000000,bottom
"D43","D","D_SOD-323_HandSoldering",-313.055000,-185.880000,90.000000,bottom
